,0,1,2,3
558,11.9,2.8812,-1.4186,0.0
559,12.0012,2.8208,-1.4186,0.0
560,12.0184,2.8209,-1.4186,0.0
561,12.0019,2.817,-1.4186,0.0
562,11.9872,2.8056,-1.4186,0.0
563,11.9344,2.8816,-1.4186,0.0
564,11.9055,2.8588,-1.4186,0.0
565,11.9648,2.6766,-1.4186,0.0
566,11.9165,2.5841,-1.4186,0.0
567,12.039,2.8848,-1.4186,0.0
568,11.9464,2.6823,-1.4186,0.0
569,11.892,2.9815,-1.4186,7.0
570,11.9184,2.9487,-1.4186,1.0
571,12.0136,2.8413,-1.4186,0.0
572,11.922,2.7138,-1.4186,0.0
573,11.9671,2.8915,-1.4186,0.0
574,11.9216,2.7883,-1.4186,0.0
575,11.9213,2.5616,-1.4186,0.0
576,11.9769,2.6204,-1.4186,0.0
577,11.9204,2.8663,-1.4186,0.0
578,11.9209,2.8645,-1.4186,0.0
579,12.0121,2.7736,-1.4186,0.0
580,11.9753,2.783,-1.4186,0.0
581,11.9744,2.6337,-1.4186,0.0
